id,hike_name,difficulty,num_review,distance,elevation,type,rating,dogs_on_leash,birding,dog_friendly,backpacking,kid_friendly,hiking,wheelchair_friendly,off_road_driving,fishing,camping,mountain_biking,nature_trips,walking,scenic_driving,road_biking,paddle_sports,snowshoeing,trail_running,cross_country_skiing,river,rock_climbing,forest,horseback_riding,lake,cave,views,no_dogs,scramble,beach,waterfall,no_shade,surfing,rocky,nan,skiing,wildlife,wild_flowers,muddy,washed_out,snow,old_growth,over_grown,closed,bugs,hot_springs,off_trail,rails_trails,city_walk,blowdown,private_property,historic_site,dogs,bridge_out
41,El Moro Canyon Loop Trail,MODERATE,554,4.9,800,Loop,4.3,,birding,,backpacking,kid_friendly,hiking,,,,camping,mountain_biking,nature_trips,walking,,,,,trail_running,,river,,forest,horseback_riding,,,views,no_dogs,,beach,waterfall,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
42,Mount Rubidoux Trail,EASY,797,2.7,393,Loop,4.3,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,,rock_climbing,,,,,views,,,,,,,,,,,wild_flowers,,,,,,,,,,rails_trails,,,,,dogs,
43,Horsetail Falls Trail,MODERATE,476,3.3,649,Out & Back,4.6,,birding,dog_friendly,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,,,river,,forest,,,,views,,scramble,,waterfall,,,rocky,,,,,muddy,,,,,,,,,,,,,,,
44,Mount Whitney via Mount Whitney Trail,HARD,401,21.9,6715,Out & Back,4.9,,,,backpacking,,hiking,,,,camping,,nature_trips,walking,,,,snowshoeing,trail_running,cross_country_skiing,river,rock_climbing,forest,,lake,,views,no_dogs,scramble,,waterfall,,,rocky,,skiing,wildlife,wild_flowers,,,snow,,,,bugs,,,,,,,,dogs,
45,French Trail and Stream Trail Loop via Skyline Blvd,MODERATE,496,7.5,1309,Loop,4.5,dogs_on_leash,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,,forest,,,,views,,,,,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
46,Mount Wilson Trail,HARD,429,12.5,4429,Loop,4.5,dogs_on_leash,birding,,,,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,,,forest,,,,views,,scramble,,waterfall,,,,,,wildlife,wild_flowers,,,,,,,bugs,,,,,,,,dogs,
47,Cataract Falls Trail,MODERATE,373,2.7,1020,Out & Back,4.5,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,,forest,,lake,,,,scramble,,waterfall,,,,,,,,,,,,,,,,,,,,,,dogs,
48,San Jacinto Peak from The Tramway,HARD,399,9.6,2562,Out & Back,4.7,,birding,,backpacking,,hiking,,,,camping,,nature_trips,walking,,,,,trail_running,,river,rock_climbing,forest,,,,views,no_dogs,scramble,,,,,rocky,,,wildlife,wild_flowers,,,snow,,,,bugs,,,,,,,historic_site,dogs,
49,Fortuna Mountain Trail,HARD,602,6,1332,Loop,4.4,dogs_on_leash,birding,,,,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,,,,,,,views,,,,waterfall,no_shade,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
50,Hollyridge Trail to Hollywood Sign Viewpoint,MODERATE,391,5.1,849,Out & Back,4.1,dogs_on_leash,,,,,hiking,,,,,mountain_biking,,walking,,,,,trail_running,,,,,horseback_riding,,,views,,,,,no_shade,,,,,,,,,,,,,,,,,,,,,dogs,
51,El Cajon Mountain Trail,HARD,581,11.1,3533,Out & Back,4.7,,birding,dog_friendly,,,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,river,rock_climbing,,,,,views,,scramble,,,,,rocky,,,wildlife,wild_flowers,,washed_out,,,,,bugs,,,,,,,,,
52,Stevens Trail,MODERATE,546,9,1735,Out & Back,4.5,,birding,dog_friendly,,,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,river,,forest,,,cave,views,,,,waterfall,no_shade,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,,
53,Moro Rock Trail,MODERATE,295,0.4,187,Out & Back,4.6,,birding,,,,hiking,,,fishing,camping,,nature_trips,walking,,,,,,,river,rock_climbing,,,lake,,views,no_dogs,,,waterfall,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
54,Ice House Canyon Trail,HARD,499,7.9,2555,Loop,4.6,dogs_on_leash,birding,,,,hiking,,,,camping,,nature_trips,walking,,,,,trail_running,,river,,forest,horseback_riding,,,views,,,,,,,rocky,,,wildlife,wild_flowers,,,,,,,bugs,,,,,,,,dogs,
55,Holy Jim Canyon Trail,MODERATE,379,2.9,620,Out & Back,4.2,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,,,forest,,,,views,,,,waterfall,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
56,Heart Rock Trail,EASY,487,1.7,229,Out & Back,4.3,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,,,river,,forest,,,,views,,,,waterfall,,,,,,,wild_flowers,,,,,,,bugs,,,,,,,,dogs,
57,Vivian Creek Trail to San Gorgonio Peak,HARD,347,17.1,5452,Out & Back,4.7,dogs_on_leash,birding,,backpacking,,hiking,,,,camping,,nature_trips,walking,,,,snowshoeing,trail_running,,river,,forest,horseback_riding,,,views,,,,waterfall,,,rocky,,,wildlife,wild_flowers,,,snow,,,,bugs,,,,,,,,dogs,
58,Lower Yosemite Falls Trail,EASY,374,1,52,Loop,4.3,dogs_on_leash,birding,,,kid_friendly,hiking,wheelchair_friendly,,,,,nature_trips,walking,,,,,trail_running,,,,forest,,,,views,,,,waterfall,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
59,Muir Woods Trail,EASY,384,2.2,144,Loop,4.5,,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,,forest,,,,views,no_dogs,,,,,,,,,,wild_flowers,,,,,,,,,,,,,,,dogs,
60,Castle Rock Trail,MODERATE,463,2.6,833,Out & Back,4.5,,birding,dog_friendly,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,forest,,,,views,,scramble,,,,,rocky,,,wildlife,,,,snow,,,,,,,,,,,,,
61,PG&E  Upper High Meadow  Wildcat  Roque Valley and Coyote Loop,MODERATE,510,7.9,1699,Loop,4.3,,birding,,,,hiking,,,,,,,walking,,,,,trail_running,,,,,,,,,no_dogs,,,,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
62,Donner Creek Loop Trail,MODERATE,310,5.1,1161,Loop,4.5,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,horseback_riding,,,views,no_dogs,,,waterfall,,,,,,wildlife,wild_flowers,muddy,,,,,,,,,,,,,,dogs,
63,Palos Verdes Bluffs Trail,MODERATE,418,2.7,557,Loop,4.3,dogs_on_leash,birding,,,,hiking,,,fishing,,mountain_biking,,walking,,,,,trail_running,,,rock_climbing,,horseback_riding,,,views,,,beach,waterfall,,,,,,,,,,,,over_grown,,,,,,,,,,dogs,
64,Homestead-Blue Ridge Trail,HARD,474,5.1,1456,Loop,4.4,,,,,,hiking,,,,,,,walking,,,,,trail_running,,,,,,lake,,views,no_dogs,,,,,,rocky,,,,wild_flowers,,,,,,,,,,,,,,,dogs,
65,Michael D Antonovich Trail,EASY,573,6,416,Out & Back,4.2,,birding,dog_friendly,,kid_friendly,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,river,,,horseback_riding,lake,,views,,,,,,,,,,wildlife,,,,,,,,bugs,,,,,,,,,
66,Point Lobos Loop Trail,EASY,476,7.1,616,Loop,4.7,,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,,,,views,no_dogs,,beach,,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
67,Whitemore Gulch and Purisima Creek Loop Trail,MODERATE,390,9.8,2185,Loop,4.5,,birding,,,,hiking,,,,,mountain_biking,nature_trips,walking,,,,,trail_running,,river,,forest,horseback_riding,,,views,no_dogs,,,,,,,,,wildlife,wild_flowers,muddy,,,,,,,,,,,,,,dogs,
68,South Fortuna Trail and Fortuna Saddle Trail Loop,MODERATE,477,6,1348,Loop,4.5,dogs_on_leash,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,,,,views,,scramble,,,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
69,Skyline Drive,MODERATE,467,10.9,2227,Out & Back,4.3,dogs_on_leash,birding,,,,hiking,,,,,mountain_biking,,walking,,,,,trail_running,,,rock_climbing,,,,cave,views,,,,,no_shade,,rocky,,,,,muddy,washed_out,,,,,,,,,,,,,dogs,
70,Ladder Canyon Trail,MODERATE,371,4.5,967,Loop,4.7,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,,,,views,no_dogs,scramble,,waterfall,,,rocky,,,,wild_flowers,,washed_out,,old_growth,,,bugs,,,,,,,,dogs,
71,Los Liones Canyon and East Topanga Fire Road,HARD,454,10.1,2427,Loop,4.5,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,,,,views,no_dogs,,,,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
72,Potato Mountain Wilderness Trail,MODERATE,520,4.6,1289,Out & Back,4.4,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,road_biking,,,trail_running,,,,,,,,views,,,,,,,,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
73,Tomales Point Trail,MODERATE,346,9.4,1190,Out & Back,4.6,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,horseback_riding,,,views,no_dogs,,beach,,,,,,,wildlife,,,,,,over_grown,,,,,,,,,,dogs,
74,Four Mile Trail,HARD,354,7.5,3277,Out & Back,4.7,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,river,,forest,,,,views,no_dogs,,,waterfall,,,,,,wildlife,wild_flowers,,,snow,,,,,,,,,,,,dogs,
75,Bonita Falls Trail,MODERATE,388,1.5,334,Out & Back,4,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,,,river,,forest,,,,views,,,,waterfall,,,rocky,,,wildlife,wild_flowers,,,,,over_grown,,,,,,,,,,dogs,
76,Rubicon Trail,MODERATE,323,11.9,1381,Out & Back,4.7,,birding,,,,hiking,,,fishing,camping,mountain_biking,nature_trips,walking,,,paddle_sports,,trail_running,,,rock_climbing,forest,,lake,,views,no_dogs,,beach,waterfall,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
